Cipher suite,Protocol version,Rating protocol version,Finding protocol versie,Key exchange,Severity rating key exchange,Title finding key exchange algorithm,Authentication,Severity rating certificate verification algorithm,Title finding based on certificate verification algorithm,Encryption,Severity rating based on bulk encryption algorithm,Title finding bulk encryption algorithm,Hash,Severity rating based on hash algorithm,Title finding based on hash algorithm
AES128+AC0-CCM,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESCCM128,Informational,Using CCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
AES256+AC0-CCM,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESCCM256,Informational,Using CCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
AES128+AC0-CCM8,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESCCM8128,Medium,Using CCM+AC0-8 as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
AES256+AC0-CCM8,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESCCM8256,Medium,Using CCM+AC0-8 as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
AES128+AC0-GCM+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESGCM128,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
AES256+AC0-GCM+AC0-SHA384,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESGCM256,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-384 as hash function
ARIA128+AC0-GCM+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-ARIAGCM128,Low,Using ARIA as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
ARIA256+AC0-GCM+AC0-SHA384,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-ARIAGCM256,Low,Using ARIA as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-384 as hash function
AES128+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AES128,Low,Using CBC as bulk encryption algorithm,Mac+AD0-SHA256,Informational,Using SHA+AC0-256 as hash function
AES256+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AES256,Low,Using CBC as bulk encryption algorithm,Mac+AD0-SHA256,Informational,Using SHA+AC0-256 as hash function
CAMELLIA128+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-Camellia128,Low,Using Camellia as bulk encryption algorithm,Mac+AD0-SHA256,Informational,Using SHA+AC0-256 as hash function
CAMELLIA256+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-Camellia256,Low,Using Camellia as bulk encryption algorithm,Mac+AD0-SHA256,Informational,Using SHA+AC0-256 as hash function
NULL+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSA,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-None,High,Using null ciphers as bulk encryption algorithm,Mac+AD0-SHA256,Informational,Using SHA+AC0-256 as hash function
RSA+AC0-PSK+AC0-AES128+AC0-GCM+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSAPSK,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESGCM128,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
RSA+AC0-PSK+AC0-AES256+AC0-GCM+AC0-SHA384,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSAPSK,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-AESGCM256,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-384 as hash function
RSA+AC0-PSK+AC0-ARIA128+AC0-GCM+AC0-SHA256,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSAPSK,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-ARIAGCM128,Low,Using ARIA as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
RSA+AC0-PSK+AC0-ARIA256+AC0-GCM+AC0-SHA384,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSAPSK,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-ARIAGCM256,Low,Using ARIA as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-384 as hash function
RSA+AC0-PSK+AC0-CHACHA20+AC0-POLY1305,TLSv1.2,Informational,TLSv1.2 protocol detected,Kx+AD0-RSAPSK,Informational,Using RSA as key exchange algorithm,Au+AD0-RSA,Informational,Using RSA for authentication,Enc+AD0-CHACHA20+AC0-POLY1305+AC0-256,Informational,Using CHACHA20+AC0-POLY1305 as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
TLS+AF8-AES+AF8-128+AF8-GCM+AF8-SHA256,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Enc+AD0-AESGCM128,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
TLS+AF8-AES+AF8-256+AF8-GCM+AF8-SHA384,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Enc+AD0-AESGCM256,Informational,Using AES+AC0-GCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-384 as hash function
TLS+AF8-CHACHA20+AF8-POLY1305+AF8-SHA256,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Enc+AD0-CHACHA20+AC0-POLY1305+AC0-256,Informational,Using CHACHA20+AC0-POLY1305 as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using TLS1.2 PRF SHA+AC0-256 hash function
TLS+AF8-AES+AF8-128+AF8-CCM+AF8-SHA256,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Enc+AD0-CCM,Informational,Using CCM as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
TLS+AF8-AES+AF8-128+AF8-CCM+AF8-8+AF8-SHA256,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Enc+AD0-CCM8,Medium,Using CCM+AC0-8 as bulk encryption algorithm,Mac+AD0-AEAD,Informational,Using SHA+AC0-256 as hash function
other,TLSv1.3,Informational,TLSv1.3 protocol detected,Kx+AD0-any,Informational,Other,Au+AD0-any,Informational,Other,Other,,,,,
